Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Latitude,Longitude
AT&T,CCL06607F_R02,CRAN_611 Folsom_2_36,3710,020,C-3-O(SD),450-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79167,-122.39806
AT&T,CCL06608F_R01,CRAN_555 Pine_00001_16,0292,001,C-3-O,250-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78996,-122.40239
AT&T,CCL06608F_R02,CRAN_555 Pine Street_1_18,0311,015,C-3-O,250-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78889,-122.40210
AT&T,CCL06609F_R03,MMWV_RSFR_SFDT0_003,0257,009,CCB,50-N,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79156,-122.40596
AT&T,CCL06610F_R02,CRAN_RSFR_00001_20,0310,006,C3O,80-130,Kiosk,,"voice, video & data",wireless phones & modems,2,Central Office,LTE,"1900, 5000",109,16,Melissa Murphree,925-963-8027,,37.78800,-122.40371
AT&T,CCL06612F_R01,CRAN_RSFR_00001_22,0295,016,P,OS,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78886,-122.40693
AT&T,CCL06612F_R02,CRAN_RSFR_00001_24,0296,001,C-3-R,80-130,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78914,-122.40881
AT&T,CCL06616F_R01,CRAN_RSFR_00001_17,0290,012,C-3-O,500-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.790354,-122.400502
AT&T,CCL06617F_R01,CRAN_611 Folsom_1_31,3705,006,C-3-R,400-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78471,-122.40470
AT&T,CCL06618F_R02,CRAN_611 Folsom_2_38,3709,019-020,C-3-O(SD),500-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79027,-122.39711
AT&T,CCL06619F_R01,CRAN_611 Folsom_1_33,3708,175,C-3-O(SD),300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78948,-122.40008
AT&T,CCL06619F_R02,CRAN_611 Folsom_1_42,3721,122,C-3-O(SD),550-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78898,-122.39838
AT&T,CCL06620F_R01,CRAN_611 Folsom_00001_34,3721,001,C-3-O(SD),350-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78949,-122.39737
AT&T,CCL06620F_R02,CRAN_611 Folsom_1_43,3721,122,C-3-O(SD),550-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78860,-122.39805
AT&T,CCL06621F_R01,CRAN_611 Folsom_1_35,3723,115,C-3-S,340-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78541,-122.40295
AT&T,CCL06621F_R02,CRAN_611 Folsom_1_39,3722,367,C-3-S,500-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78561,-122.40107
AT&T,CCL06622F_R02,CRAN_611 Folsom_1_40,3707,058,C-3-O,120-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78679,-122.40256
AT&T,CCL06623F_R02,CRAN_611 Folsom_1_46,3707,016,C-3-O (SD),150-S/300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78733,-122.40081
AT&T,CCL06624F_R01,CRAN_611 Folsom_1_38,3708,096,C-3-O(SD),300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78859,-122.40042
AT&T,CCL06625F_R01,CRAN_611 Folsom_1_44,3722,003,C-3-O(SD),150-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78742,-122.39921
AT&T,CCL06626F_R01,CRAN_611 Folsom_1_47,3734,091,C-3-S,340-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78344,-122.40232
AT&T,CCL06626F_R02,CRAN_611 Folsom_3_18,3723,113-117 (4 lots),C-3-S,340-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78369,-122.40317
AT&T,CCL06627F_R01,CRAN_555 Pine Street_2_01,0136,001,C-2,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.80057,-122.40032
AT&T,CCL06627F_R02,CRAN_555 Pine Street_2_05,0111,001,C-2,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.80145,-122.40052
AT&T,CCL06628F_R01,CRAN_555 Pine_2_02,166,009-079,C-2,84-E,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79785,-122.39990
AT&T,CCL06628F_R02,CRAN_555 Pine_2_27,166,007,C-2,84-E,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79812,-122.40089
AT&T,CCL06629F_R02,CRAN_555 Pine_2_16,0201,012,RC-4,84-E,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79651,-122.39633
AT&T,CCL06630F_R01,CRAN_611 Folsom_2_06,3717,019,C-3-O(SD),200-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79157,-122.39295
AT&T,CCL06630F_R02,CRAN_611 Folsom_2_34,3716,021,C-3-O(SD),84-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79229,-122.39366
AT&T,CCL06631F_R01,CRAN_555 Pine_2_07,0140,005,C-2,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79889,-122.39951
AT&T,CCL06631F_R02,CRAN_555 Pine_2_46,0140,001,C-2,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79935,-122.39888
AT&T,CCL06632F_R01,CRAN_555 Pine_2_08,0200,014,RC-4,275-E,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79716,-122.39722
AT&T,CCL06632F_R02,CRAN_555 Pine_2_11,0203,013,P,OS,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79626,-122.39740
AT&T,CCL06633F_R01,CRAN_555 Pine_2_09,0200,014,RC-4,275-E,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79705,-122.39818
AT&T,CCL06634F_R01,CRAN_611 Folsom_2_10,3712,025,C-3-O(SD),150-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79216,-122.39470
AT&T,CCL06634F_R02,CRAN_611 Folsom_2_35,3718,026,C-3-O(SD),400-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79131,-122.39441
AT&T,CCL06635F_R01,CRAN_555 Pine_2_13,0204,021,C-3-O,300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79592,-122.39953
AT&T,CCL06635F_R02,CRAN_555 Pine_2_30,204,019,C-3-O,200-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79541,-122.40032
AT&T,CCL06636F_R01,CRAN_555 Pine_2_14,0203,013,P,OS,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79544,-122.39764
AT&T,CCL06636F_R02,CRAN_555 Pine_2_15,0233,044,C-3-O,200-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79539,-122.39675
AT&T,CCL06637F_R01,CRAN_611 Folsom_2_17,3718,026,C-3-O(SD),400-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79150,-122.39521
AT&T,CCL06637F_R02,CRAN_611 Folsom_2_25,3710,020,C-3-O(SD),450-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79226,-122.39732
AT&T,CCL06638F_R01,CRAN_555 Pine_2_18,0230,028,C-3-O,300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79509,-122.39973
AT&T,CCL06638F_R02,CRAN_555 Pine_2_22,237,001,C-3-O,300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79419,-122.39903
AT&T,CCL06639F_R02,CRAN_555 Pine_2_47,0141,011,C-2,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79877,-122.40102
AT&T,CCL06640F_R01,CRAN_555 Pine_2_20,0232,016,C-3-O,300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79460,-122.39710
AT&T,CCL06640F_R02,CRAN_555 Pine_2_21,0232,016,C-3-O,300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79452,-122.39768
AT&T,CCL06641F_R01,CRAN_555 Pine_2_23,0264,004,C-3-O,400-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79351,-122.39702
AT&T,CCL06641F_R02,CRAN_555 Pine_2_24,0262,020,C-3-O,400-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79286,-122.39877
AT&T,CCL06642F_R01,CRAN_555 Pine_2_26,0112,008,C-2,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.80041,-122.40256
AT&T,CCL06642F_R02,CRAN_555 Pine_2_45,0136,005,C-2,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.80043,-122.40132
AT&T,CCL06643F_R01,CRAN_555 Pine_2_28,0207,036,C-3-O,200-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79561,-122.40225
AT&T,CCL06643F_R02,CRAN_555 Pine_2_33,0174,011,C-2,65-A,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79755,-122.40144
AT&T,CCL06644F_R01,CRAN_611 Folsom_2_31,3715,001,C-3-O,84-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79355,-122.39264
AT&T,CCL06644F_R02,CRAN_611 Folsom_2_32,3715,003,C3O,84-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79298,-122.39272
AT&T,CCL06645F_R02,CRAN_611 Folsom_2_39,3718,025,TB DTR,50/85/550-TB,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79038,-122.39389
AT&T,CCL06646F_R01,CRAN_611 Folsom_2_40,3738,012,C-3-O(SD),400-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78928,-122.39497
AT&T,CCL06646F_R02,CRAN_611 Folsom_3_05,3721,119,C-3-O(SD),150-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78874,-122.39638
AT&T,CCL06647F_R01,CRAN_611 Folsom_2_41,3715,013,C-3-O(SD),84-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79221,-122.39154
AT&T,CCL06648F_R01,CRAN_611 Folsom_2_42,3741,031,C-3-O(SD),65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79160,-122.39203
AT&T,CCL06648F_R02,CRAN_611 Folsom_2_43,3717,020,C-3-O(SD),200-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79102,-122.39301
AT&T,CCL06649F_R01,CRAN_RSFR_00002_44,0132,051,NCD,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79968,-122.40731
AT&T,CCL06650F_R01,CRAN_611 Folsom_3_02,3752,009,MUR,85-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78149,-122.40071
AT&T,CCL06650F_R02,CRAN_611 Folsom_3_39,3734,091,C-3-S,340-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78219,-122.40123
AT&T,CCL06651F_R01,CRAN_611 Folsom_3_03,3750,086,MUR,85-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78271,-122.39738
AT&T,CCL06651F_R02,CRAN_611 Folsom_3_15,3735,013,C-3-S,200-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78473,-122.39800
AT&T,CCL06652F_R01,CRAN_611 Folsom_3_04,3762,112,SLI,85-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78083,-122.39945
AT&T,CCL06652F_R02,CRAN_611 Folsom_3_21,3761,062,P,30-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.77985,-122.39860
AT&T,CCL06653F_R01,CRAN_611 Folsom_3_06,3738,016,TB DTR,50/85/550-TB,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78841,-122.39400
AT&T,CCL06653F_R02,CRAN_611 Folsom_3_20,3738,016,TB DTR,50/85/300-TB,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78888,-122.39310
AT&T,CCL06654F_R01,CRAN_611 Folsom_3_08,3735,063,C-3-O(SD),150-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78645,-122.39855
AT&T,CCL06654F_R02,CRAN_611 Folsom_3_09,3735,041,C-3-O(SD),250-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78553,-122.39899
AT&T,CCL06655F_R01,CRAN_611 Folsom_3_01,3734,091,C-3-S,340-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78422,-122.39965
AT&T,CCL06655F_R02,CRAN_611 Folsom_3_10,3722,367,C-3-S or C-3-O,500-I or 320-I,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78565,-122.39984
AT&T,CCL06656F_R01,CRAN_611 Folsom_3_23,3761,062,P,30-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.77807,-122.40015
AT&T,CCL06657F_R01,CRAN_611 Folsom_3_11,3735,063,C-3-O(SD),150-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78638,-122.39790
AT&T,CCL06657F_R02,CRAN_611 Folsom_3_14,3736,027,C-3-O(SD),250-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78594,-122.39641
AT&T,CCL06658F_R01,CRAN_611 Folsom_3_07,3736,156,TB DTR,50/165/400-TB,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78712,-122.39574
AT&T,CCL06659F_R01,CRAN_611 Folsom_3_26,3764,064,MUO,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78441,-122.39228
AT&T,CCL06659F_R02,CRAN_611 Folsom_3_34,3773,100A,SB-DTR,105-F,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78469,-122.39110
AT&T,CCL06660F_R01,CRAN_611 Folsom_3_13,3736,120,TB DTR,50/165/400-TB,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78754,-122.39494
AT&T,CCL06660F_R02,CRAN_611 Folsom_3_27,3747,320,RH DTR,85/400-R,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78716,-122.39242
AT&T,CCL06660F_R03,MMWV_RSFR_SFDT0_002,3748,033,RH DTR,85/200-R,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78706,-122.39403
AT&T,CCL06661F_R01,CRAN_RSFR_00003_16,8701,003,MB-O,110,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.77519,-122.397255
AT&T,CCL06661F_R02,CRAN_611 Folsom_3_36,3786,136,CMUO,130-CS,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.77692,-122.39541
AT&T,CCL06662F_R01,CRAN_611 Folsom_3_17,3787,018,SLI,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.77826,-122.39368
AT&T,CCL06662F_R02,CRAN_611 Folsom_3_38,3794,005,MUO,105-F,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.77859,-122.39224
AT&T,CCL06663F_R01,CRAN_611 Folsom_3_19,3746,007,RC-4,400-W,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78926,-122.39176
AT&T,CCL06663F_R02,CRAN_611 Folsom_3_28,3746,002,RH DTR,85/150-R,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78788,-122.39083
AT&T,CCL06664F_R01,CRAN_611 Folsom_3_22,3768,015,RH DTR,84-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78792,-122.38841
AT&T,CCL06665F_R02,CRAN_611 Folsom_3_29,3764,068,MUO,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78453,-122.39473
AT&T,CCL06666F_R01,CRAN_611 Folsom_3_30,3763,105,SSO,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78370,-122.39578
AT&T,CCL06666F_R02,CRAN_611 Folsom_3_31,3763,032,MUO,45-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78280,-122.39502
AT&T,CCL06667F_R01,CRAN_611 Folsom_3_33,3771,004,SB-DTR,45-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78553,-122.38863
AT&T,CCL06667F_R02,CRAN_611 Folsom_3_46,3790,001,SB-DTR,45-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78284,-122.38883
AT&T,CCL06668F_R01,CRAN_611 Folsom_3_35,3774,067,MUO,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78278,-122.39303
AT&T,CCL06668F_R02,CRAN_611 Folsom_3_42,3788,042,MUO,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78113,-122.39288
AT&T,CCL06669F_R01,CRAN_611 Folsom_3_37,3786,136,MUO,85-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.77757,-122.39573
AT&T,CCL06670F_R02,CRAN_611 Folsom_3_43,3792,002,SB-DTR,55-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78138,-122.38952
AT&T,CCL06671F_R01,CRAN_611 Folsom_3_41,3775,072,SLI,65-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.78105,-122.39535
AT&T,CCL06671F_R02,CRAN_611 Folsom_3_45,3762,007,SLI,85-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.78164,-122.39650
AT&T,CCL06681F_R02,CRAN_RSFR_00004_29,766,005,P,80-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.7802372,-122.41967
AT&T,CCL06711F_R02,CRAN_RSFR_00005_30,251,015,RC-4,65-A,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79034394,-122.41722
AT&T,CCL06737F_R01,CRAN_RSFR_00006_31,544,001,NCD,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.7980536,-122.42734
AT&T,CCL06842F_R02,CRAN_1515 19th Avenue _SFOK1_018,2483,005,NCD,26-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.73771,-122.46959
AT&T,CCL06937F_R01,CRAN_1515 19th_SFOK1_001,7298,005,P,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.73104,-122.48337
AT&T,CCL06937F_R02,CRAN_1515 19th_SFOK1_013,3069,011,RH-1(D),40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.73486,-122.47124
AT&T,CCL06938F_R02,CRAN_RSFR_SFOK1_004,7295,038,C2,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.72694,-122.47556
AT&T,CCL06940F_R02,CRAN_RSFR_SFOK1_019,7380,038,NCD,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.71477,-122.48503
AT&T,CCL06942F_R01,CRAN_RSFR_SFOK1_014,3179,010,P,105-E,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.72418,-122.45226
AT&T,CCL06942F_R03,CRAN_RSFR_SFOK1_017,3179,010,P,105-E,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.72294,-122.45094
AT&T,CCL07084F_R01,CRAN_RSFR_SFOK10_001,1520,039,NC-3,40-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,31,Melissa Murphree,925-963-8027,,37.78013,-122.48421
